,Name,Deal_Price,Ratings
1,"Xiaomi 11i 5G (Stealth Black, 128 GB)","26,999","4.27,373 Ratings & 963 Reviews"
2,"REDMI Note 11 Pro (Star blue, 128 GB)","19,110",4.485 Ratings & 2 Reviews
3,"Xiaomi 11i 5G (Pacific Pearl, 128 GB)","26,999","4.27,373 Ratings & 963 Reviews"
4,"Redmi Note 11 (Starburst White, 64 GB)","13,835",4.3941 Ratings & 86 Reviews
5,"REDMI Note 11T 5G (Matte black, 128 GB)","19,898",4.3764 Ratings & 70 Reviews
6,"Redmi Note 11 (Horizon Blue, 128 GB)","15,949","4.21,555 Ratings & 149 Reviews"
7,"Redmi Note 11 (Space Black, 128 GB)","15,760","4.21,555 Ratings & 149 Reviews"
8,"Redmi Note 11 PRO Plus 5G (Stealth Black, 128 GB)","20,899",4.358 Ratings & 5 Reviews
9,"Redmi 9 (Sporty Orange, 64 GB)","10,989","4.225,228 Ratings & 1,466 Reviews"
10,"REDMI Note 11T 5G (Stardust White, 128 GB)","18,395",4.3764 Ratings & 70 Reviews
11,"REDMI Note 11 Pro (Star Blue, 128 GB)","19,938",4.259 Ratings & 3 Reviews
12,"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)","24,990","4.32,104 Ratings & 226 Reviews"
13,"Xiaomi 11i Hypercharge 5G (Stealth Black, 128 GB)","28,999","4.22,789 Ratings & 370 Reviews"
14,"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)","28,999","4.22,789 Ratings & 370 Reviews"
15,"Xiaomi 11i Hypercharge 5G (Camo Green, 128 GB)","26,999","4.23,502 Ratings & 452 Reviews"
16,"Xiaomi 11i Hypercharge 5G (Stealth Black, 128 GB)","26,999","4.23,502 Ratings & 452 Reviews"
17,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)","28,999","4.22,789 Ratings & 370 Reviews"
18,"Redmi Note 11 PRO Plus 5G (Stealth Black, 256 GB)","25,485",4.2115 Ratings & 12 Reviews
19,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)","26,999","4.23,502 Ratings & 452 Reviews"
20,"Xiaomi 11T Pro 5G Hyperphone (Moonlight White, 128 GB)","36,149",4.186 Ratings & 14 Reviews
21,"Xiaomi 11T Pro 5G Hyperphone (Meteorite Black, 128 GB)","36,990",4.186 Ratings & 14 Reviews
22,"Xiaomi 11T Pro 5G Hyperphone (Celestial Magic, 256 GB)","39,690",4.186 Ratings & 14 Reviews
23,"Redmi Note 11 PRO Plus 5G (Mirage Blue, 128 GB)","21,690",4.358 Ratings & 5 Reviews
24,"Redmi Note 11 PRO Plus 5G (Phantom White, 128 GB)","21,299",4.358 Ratings & 5 Reviews
